dates,ET,Tr,Es,Ei,Esb,RF,GW,SM1,SM2,SM3
2011-10-23,0.170221745967865,0.0544352009892464,0.115533567965031,0.000252972787448764,0,0,6734.7900390625,0.155220583081245,0.178204447031021,0.0838784798979759
2011-10-24,0.477630615234375,0.136838540434837,0.340790659189224,1.43856726113695e-06,0,0,6734.81982421875,0.14803558588028,0.178120538592339,0.0838789120316505
2011-10-25,0.554094910621643,0.180200457572937,0.373893618583679,8.32514313563773e-07,0,0,6734.849609375,0.140197813510895,0.178006440401077,0.0838792100548744
2011-10-26,0.209834843873978,0.0685275495052338,0.141306266188622,1.02645704799056e-06,0,0,6734.87939453125,0.137048751115799,0.177967891097069,0.0838798359036446
2011-10-27,0.500155031681061,0.184139594435692,0.316013872623444,1.57615125859214e-06,0,0,6734.9091796875,0.130404591560364,0.177850171923637,0.0838801264762878
2011-10-28,0.378641098737717,0.144268602132797,0.234371289610863,1.22783604631142e-06,0,0,6734.93896484375,0.125409618020058,0.177759081125259,0.0838805288076401
2011-10-29,0.492898941040039,0.19533471763134,0.297560065984726,4.1674076913098e-06,0,0,6734.96875,0.119189202785492,0.177632734179497,0.0838807821273804
2011-10-30,0.635468065738678,0.269272983074188,0.366144478321075,5.05801081510154e-05,0,0,6734.99853515625,0.111966788768768,0.177455425262451,0.0838808044791222
2011-10-31,0.398878157138824,0.179876998066902,0.218830704689026,0.00017045466379658,0,0,6735.0283203125,0.109422899782658,0.177338466048241,0.083881102502346
2011-11-01,0.667871296405792,0.313346892595291,0.35449680685997,2.75812882610742e-05,0,0,6735.05810546875,0.102260664105415,0.177130237221718,0.0838809907436371
2011-11-02,0.177837148308754,0.0832716226577759,0.0944947376847267,7.07956721003559e-05,0,0,6735.087890625,0.101916559040546,0.177078410983086,0.083881564438343
2011-11-03,0.0328813642263412,0.0130064589902759,0.0196445491164923,0.000230355879336469,0,0,6735.11767578125,0.138277098536491,0.17707447707653,0.0838823467493057
2011-11-04,0.343703150749207,0.114053301513195,0.226816980899239,0.0028328720234975,0,0,6735.1474609375,0.186080366373062,0.177004724740982,0.0838828310370445
2011-11-05,0,0,0,0,0,0,6735.17724609375,0.26484888792038,0.177016898989677,0.0838836580514908
2011-11-06,0.443401545286179,0.139860183000565,0.303540143591017,1.22213674734115e-06,0,0,6735.20703125,0.258134543895721,0.176940441131592,0.083884060382843
2011-11-07,0.361368507146835,0.111648000776768,0.242335023576163,0.00738550317665855,0,0,6735.23681640625,0.375015407800674,0.176882743835449,0.0838845446705818
2011-11-08,0,0,0,0,0,0,6735.2666015625,0.294055223464966,0.180720046162605,0.0838853791356087
2011-11-09,0.298234671354294,0.0845527797937393,0.213668469476501,1.34030141802389e-05,0,0,6735.29638671875,0.226100489497185,0.182862758636475,0.0838860049843788
2011-11-10,0.293909162282944,0.0863745808601379,0.207534117937388,4.68872447892611e-07,0,0,6735.326171875,0.221395820379257,0.182819232344627,0.0838866457343102
2011-11-11,0.206834092736244,0.0670113265514374,0.139821832850394,9.41872772706733e-07,0,0,6735.35595703125,0.218074142932892,0.182788521051407,0.0838873460888863
2011-11-12,0.0150049859657884,0.00463101733475924,0.0103739689971451,0,0,0,6735.3857421875,0.217324301600456,0.18280017375946,0.0838882178068161
2011-11-13,0.26280888915062,0.0720159709453583,0.190792932258048,0,0,0,6735.41552734375,0.212967664003372,0.182765707373619,0.0838889107108116
2011-11-14,0.391328185796738,0.114720642566681,0.276606264398749,1.27766232714532e-06,0,0,6735.4453125,0.206922486424446,0.182701706886292,0.083889476954937
2011-11-15,0.455595433712006,0.137495741248131,0.318098962050514,7.42423520089087e-07,0,0,6735.47509765625,0.200053974986076,0.182621628046036,0.083889976143837
2011-11-16,0.172970831394196,0.0525973252952099,0.113395555596996,0.006977947327653,0,0,6735.5048828125,0.383232802152634,0.183851003646851,0.0838907212018967
2011-11-17,0.0336046032607555,0.0106859346851707,0.0226128807239564,0.000305787814199837,0,0,6735.53466796875,0.290574431419373,0.188686922192574,0.0838915854692459
2011-11-18,0.340457886457443,0.108318567276001,0.232016118379923,0.000123189623518106,0,0,6735.564453125,0.225017532706261,0.190774247050285,0.0838922560214996
2011-11-19,0.126699537038803,0.0317931137979031,0.0949058440063859,5.88112418931987e-07,0,0,6735.59423828125,0.222581461071968,0.190767720341682,0.0838931351900101
2011-11-20,0.196515887975693,0.0483941286802292,0.148119946094646,1.82188258208622e-06,0,0,6735.6240234375,0.219108238816261,0.190749615430832,0.0838939696550369
2011-11-21,0.209614172577858,0.0569752529263496,0.152638917521447,1.1085492307447e-09,0,0,6735.65380859375,0.215510368347168,0.190725356340408,0.0838947892189026
2011-11-22,0.0164512749761343,0.00467168493196368,0.0117794123874302,1.76041558133236e-07,0,0,6735.68359375,0.214790150523186,0.190736547112465,0.0838957354426384
2011-11-23,0.0618366189301014,0.0142676634714007,0.0475687184128041,2.37716567737153e-07,0,0,6735.71337890625,0.21332161128521,0.19074110686779,0.0838966518640518
2011-11-24,0.078488864004612,0.0178215354681015,0.0606670261052539,3.07672398360936e-07,0,0,6735.7431640625,0.211594834923744,0.190743133425713,0.083897553384304
2011-11-25,0.230559155344963,0.0537460520863533,0.176813099070544,0,0,0,6735.77294921875,0.207532182335854,0.190720424056053,0.0838983878493309
2011-11-26,0.288978964090347,0.0775016397237778,0.211476250310986,1.07727173823412e-06,0,0,6735.802734375,0.202803328633308,0.190681129693985,0.083899162709713
2011-11-27,0.259292840957642,0.0733633264899254,0.185928579353449,9.3874506893151e-07,0,0,6735.83251953125,0.198597013950348,0.190644264221191,0.0838999450206757
2011-11-28,0.445322751998901,0.138890698552132,0.306381365262073,5.07044829516119e-05,0,0,6735.8623046875,0.192523896694183,0.190562203526497,0.0839005708694458
2011-11-29,0,0,0,0,0,0,6735.89208984375,0.192045077681541,0.190574616193771,0.0839015245437622
2011-11-30,0,0,0,0,0,0,6735.921875,0.191567465662956,0.190587013959885,0.0839024782180786
2011-12-01,0,0,0,0,0,0,6735.95166015625,0.191091015934944,0.190599367022514,0.0839034244418144
2011-12-02,0,0,0,0,0,0,6735.9814453125,0.190615773200989,0.19061167538166,0.0839043781161308
2011-12-03,0.0434122942388058,0.00844242423772812,0,9.32017915699591e-06,0.0349605516876839,0,6736.01123046875,0.190141677856445,0.190618187189102,0.0839053094387054
2011-12-04,0.144786477088928,0.0309003889560699,0,1.63041616522239e-05,0.113869787022615,0,6736.041015625,0.189668729901314,0.190609276294708,0.0839061886072159
2011-12-05,0,0,0,0,0,0,6736.07080078125,0.189197018742561,0.190621465444565,0.0839071422815323
2011-12-06,0.0401024632155895,0.00897306296974421,0,1.68223948979478e-06,0.0311277176941365,0,6736.1005859375,0.385529160499573,0.19134858250618,0.0839080736041069
2011-12-07,0,0,0,0,0,0,6736.13037109375,0.29017499089241,0.194704845547676,0.0839090347290039
2011-12-08,0,0,0,0,0,0,6736.16015625,0.227507025003433,0.196861639618874,0.0839100182056427
2011-12-09,0,0,0,0,0,0,6736.18994140625,0.22694119811058,0.196876913309097,0.0839110314846039
2011-12-10,0,0,0,0,0,0,6736.2197265625,0.226376786828041,0.196892157196999,0.0839120373129845
